Month,Academic_Phase,Location_Zone,Business_Category,Competitor_Density,Base_Footfall_Index,Demand_Volume,Location_Suitability_Score
7,Mid-Semester,Apatapiti,Fast Food,7,0.551,321,49.32
4,Exams,South Gate,Fast Food,18,0.83,351,21.39
11,Holidays,Obanla,Fast Food,15,0.299,43,18.55
8,Exams,South Gate,Stationery/Printing,15,0.867,571,41.42
5,Exams,South Gate,Fashion,10,0.847,131,59.57
7,Mid-Semester,South Gate,Fashion,13,0.928,227,46.43
10,Holidays,South Gate,Electronics,11,0.227,6,30.06
3,Mid-Semester,South Gate,Stationery/Printing,13,0.819,250,56.08
7,Mid-Semester,North Gate,POS/Fintech,10,0.497,266,30.17
11,Holidays,Obanla,Fashion,4,0.174,15,47.96
11,Holidays,North Gate,Stationery/Printing,3,0.1,5,49.26
8,Exams,South Gate,Stationery/Printing,11,0.797,432,53.24
5,Holidays,South Gate,Fashion,13,0.135,9,12.7
4,Mid-Semester,Obanla,Stationery/Printing,6,0.734,258,58.38
8,Mid-Semester,North Gate,Stationery/Printing,3,0.495,189,63.62
8,Exams,South Gate,Fashion,13,0.799,98,41.47
3,Mid-Semester,Apatapiti,Fast Food,13,0.684,330,31.69
6,Resumption,Obanla,Electronics,7,0.685,174,55.79
5,Holidays,Apatapiti,POS/Fintech,11,0.238,30,15.72
2,Resumption,North Gate,Electronics,1,0.381,85,40.96
8,Exams,South Gate,Fast Food,11,0.851,394,56.34
12,Holidays,Obanla,Fast Food,15,0.198,27,6.24
6,Resumption,South Gate,Stationery/Printing,13,0.76,269,55.72
2,Resumption,North Gate,Electronics,3,0.384,110,49.32
12,Resumption,South Gate,Fast Food,15,0.782,377,40.38
5,Holidays,Apatapiti,Electronics,4,0.264,9,38.33
1,Resumption,South Gate,Fast Food,17,0.787,340,31.56
12,Holidays,West Gate,POS/Fintech,5,0.1,15,23.86
10,Holidays,Apatapiti,Fast Food,12,0.157,21,16.5
6,Resumption,North Gate,Electronics,5,0.479,130,45.06
12,Holidays,Obanla,Stationery/Printing,14,0.266,10,7.99
9,Holidays,Obanla,Electronics,12,0.169,5,18.03
1,Holidays,Apatapiti,Fashion,4,0.159,13,36.25
11,Holidays,North Gate,Electronics,4,0.125,5,34.56
11,Holidays,Apatapiti,POS/Fintech,11,0.127,17,10.92
10,Holidays,North Gate,POS/Fintech,8,0.135,22,27.23
12,Resumption,West Gate,POS/Fintech,5,0.347,273,35.33
12,Resumption,North Gate,Fast Food,11,0.417,246,24.75
3,Mid-Semester,North Gate,POS/Fintech,3,0.518,334,57.51
12,Holidays,Apatapiti,Electronics,1,0.17,6,41.89
7,Mid-Semester,Apatapiti,Stationery/Printing,13,0.6,154,29.65
4,Exams,Obanla,POS/Fintech,15,0.734,360,36.51
9,Exams,South Gate,Electronics,8,0.827,68,63.02
3,Mid-Semester,North Gate,Fast Food,6,0.454,220,46.22
5,Exams,West Gate,Fast Food,9,0.282,152,12.96
3,Mid-Semester,Apatapiti,Stationery/Printing,9,0.599,206,31.5
7,Mid-Semester,Apatapiti,Stationery/Printing,5,0.548,180,45.53
5,Exams,South Gate,Electronics,8,0.81,66,61.46
9,Exams,North Gate,Stationery/Printing,4,0.474,375,60.38
7,Mid-Semester,Obanla,Stationery/Printing,14,0.851,285,33.53
2,Resumption,Apatapiti,Fast Food,13,0.499,244,18.45
4,Exams,South Gate,Electronics,10,0.858,64,58.62
9,Holidays,Apatapiti,Stationery/Printing,10,0.174,7,17.78
12,Holidays,Obanla,Electronics,4,0.239,7,48.39
2,Resumption,South Gate,POS/Fintech,17,0.725,463,25.86
10,Holidays,South Gate,Fast Food,18,0.118,14,0.94
9,Exams,South Gate,Fast Food,20,0.802,274,25.1
10,Holidays,Obanla,Fast Food,18,0.226,24,3.04
5,Holidays,South Gate,Fashion,16,0.196,14,3.08
2,Resumption,South Gate,Electronics,11,0.758,194,41.01
4,Exams,Apatapiti,POS/Fintech,15,0.669,318,17.33
12,Holidays,South Gate,Stationery/Printing,15,0.176,7,17.34
12,Holidays,South Gate,POS/Fintech,20,0.259,26,0.0
7,Mid-Semester,North Gate,Electronics,5,0.451,92,56.24
12,Resumption,Obanla,Fast Food,16,0.733,321,16.24
8,Exams,Apatapiti,Fashion,4,0.567,103,56.19
3,Mid-Semester,North Gate,Electronics,5,0.524,89,58.61
1,Holidays,Apatapiti,Electronics,6,0.118,3,27.99
4,Mid-Semester,Obanla,Stationery/Printing,12,0.755,243,34.26
2,Resumption,South Gate,POS/Fintech,16,0.773,512,32.24
8,Mid-Semester,South Gate,POS/Fintech,15,0.779,377,44.2
4,Exams,North Gate,Stationery/Printing,4,0.45,367,59.13
2,Resumption,North Gate,Fashion,3,0.463,189,58.9
6,Resumption,Obanla,Fast Food,18,0.637,263,16.2
6,Mid-Semester,Obanla,Fast Food,10,0.759,431,47.66
10,Holidays,North Gate,Fashion,4,0.116,10,33.05
4,Exams,South Gate,Stationery/Printing,12,0.837,506,49.75
6,Resumption,South Gate,Electronics,10,0.757,203,51.65
2,Resumption,Obanla,POS/Fintech,16,0.794,525,39.57
10,Holidays,North Gate,Electronics,6,0.1,3,30.11
12,Holidays,Obanla,POS/Fintech,14,0.148,18,12.11
2,Resumption,South Gate,Electronics,12,0.799,174,45.08
10,Holidays,Obanla,Stationery/Printing,7,0.197,10,35.61
4,Mid-Semester,Apatapiti,Stationery/Printing,7,0.622,244,44.41
8,Mid-Semester,South Gate,Fashion,12,0.69,154,44.86
7,Mid-Semester,North Gate,Electronics,2,0.491,75,58.8
12,Holidays,West Gate,Electronics,1,0.1,3,26.14
9,Exams,South Gate,Fashion,8,0.838,113,57.22
8,Mid-Semester,Obanla,Fashion,11,0.768,251,41.93
5,Exams,South Gate,Stationery/Printing,10,0.808,549,64.88
2,Resumption,Obanla,Stationery/Printing,11,0.67,262,42.34
5,Holidays,South Gate,Electronics,8,0.15,4,40.25
8,Exams,West Gate,Stationery/Printing,2,0.302,190,20.71
10,Holidays,Obanla,Stationery/Printing,7,0.181,8,37.8
9,Holidays,Apatapiti,Electronics,5,0.128,4,40.06
12,Resumption,Obanla,Fashion,6,0.674,278,60.79
12,Resumption,Obanla,Electronics,9,0.657,156,45.93
12,Resumption,North Gate,Fast Food,11,0.378,176,21.9
9,Exams,Apatapiti,Electronics,4,0.603,54,53.43
1,Holidays,West Gate,Fast Food,2,0.169,30,23.24
9,Exams,North Gate,Electronics,7,0.489,46,39.08
7,Mid-Semester,West Gate,Fast Food,4,0.315,218,35.05
9,Holidays,Obanla,Fast Food,10,0.262,47,34.53
8,Exams,Obanla,Electronics,12,0.808,65,41.08
1,Resumption,North Gate,Stationery/Printing,5,0.441,199,55.66
12,Resumption,South Gate,POS/Fintech,12,0.729,575,50.15
8,Exams,South Gate,Stationery/Printing,10,0.829,626,68.88
8,Exams,South Gate,Fast Food,11,0.815,338,52.58
11,Holidays,Obanla,Electronics,7,0.236,8,40.93
3,Mid-Semester,North Gate,Electronics,5,0.5,68,47.98
1,Holidays,North Gate,Electronics,4,0.129,3,36.46
8,Mid-Semester,West Gate,Electronics,1,0.252,39,31.46
3,Mid-Semester,North Gate,POS/Fintech,9,0.551,356,33.0
3,Mid-Semester,North Gate,Fashion,5,0.468,128,45.89
1,Resumption,South Gate,Fast Food,15,0.705,337,31.5
11,Holidays,South Gate,POS/Fintech,20,0.1,12,0.0
5,Exams,Apatapiti,Stationery/Printing,9,0.565,395,33.83
10,Holidays,Obanla,Fashion,10,0.152,13,23.51
7,Mid-Semester,Apatapiti,Fashion,11,0.588,149,24.59
10,Holidays,South Gate,Electronics,12,0.188,5,21.74
